"№ 
п/п",Институт,Учебная группа,Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги
1 284,0.3442265795206972,0.2908496732026144,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0
1 596,0.1938997821350762,0.1633986928104575,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0
1 395,0.2252481239409343,0.2908496732026144,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0
1 254,0.3877995642701525,0.1633986928104575,-1,-1,-1,1,-1,0,-1,2,3,3,-1,5,-1,-1,3,-1,2.0
1 280,0.3469498910675381,0.1633986928104575,-1,-1,-1,0,-1,4,-1,2,3,3,-1,3,-1,-1,3,-1,2.0
676,0.0233426704014939,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,3,-1,4,-1,5,-1,2,-1,1.0
1 354,0.2131022951816385,0.0272331154684095,-1,-1,-1,1,-1,3,-1,2,3,4,-1,4,-1,-1,3,-1,1.0
1 294,0.2346999405822935,0.1057635175282234,-1,-1,-1,1,-1,4,-1,2,3,4,-1,4,-1,-1,2,-1,2.0
1 232,0.1633986928104575,0.1633986928104575,-1,-1,-1,1,-1,4,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0
1 290,0.2717578259373925,0.1454248366013072,-1,-1,-1,1,-1,5,-1,3,2,4,-1,4,-1,-1,3,-1,1.0
1 464,0.2908496732026144,0.1633986928104575,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
1 399,0.2211527035056446,0.2326797385620915,-1,-1,-1,0,-1,2,-1,2,2,0,-1,3,-1,-1,3,-1,5.0
78,0.0326797385620915,0.1633986928104575,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0
1 268,0.4625998547567175,0.4519140989729225,-1,-1,-1,1,-1,3,-1,2,4,4,-1,4,-1,-1,3,-1,1.0
789,0.0505825518613242,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,0,-1,3,-1,3,-1,3,-1,1.0
44,0.0544662309368191,0.0816993464052287,-1,1,-1,-1,5,-1,3,-1,-1,-1,-1,-1,-1,3,-1,0,1.0
1 403,0.2133929595229904,0.1661998132586368,-1,-1,-1,0,-1,2,-1,2,2,3,-1,0,-1,-1,3,-1,5.0
