"№ 
п/п",Институт,Учебная группа,Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги,отчислен
9,0.1633986928104575,0.1633986928104575,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,5,1.0,0
43,0.0816993464052287,0.1633986928104575,-1,1,-1,-1,5,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,1.0,0
44,0.0544662309368191,0.0816993464052287,-1,1,-1,-1,5,-1,3,-1,-1,-1,-1,-1,-1,3,-1,0,1.0,0
59,0.0408496732026143,0.1633986928104575,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0,0
78,0.0326797385620915,0.1633986928104575,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0,0
169,0.0272331154684095,0.1633986928104575,-1,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,3,4.0,0
184,0.0233426704014939,0.1633986928104575,-1,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,3.0,0
262,0.1633986928104575,0.1633986928104575,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0,0
274,0.0816993464052287,0.0816993464052287,-1,-1,0,1,-1,-1,-1,2,4,-1,-1,4,-1,-1,3,-1,2.0,0
351,0.0544662309368191,0.1633986928104575,-1,-1,-1,1,-1,-1,-1,2,3,-1,-1,5,-1,-1,3,-1,1.0,1
378,0.2908496732026144,0.1633986928104575,-1,1,1,1,-1,-1,-1,2,5,-1,-1,5,-1,-1,3,-1,1.0,0
386,0.2326797385620915,0.0816993464052287,-1,1,1,1,-1,-1,-1,3,2,-1,-1,3,-1,-1,3,-1,1.0,0
445,0.1938997821350762,0.1633986928104575,-1,-1,-1,1,-1,-1,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0,0
495,0.1633986928104575,0.1633986928104575,1,-1,-1,1,-1,-1,-1,-1,4,-1,-1,3,-1,-1,2,-1,1.0,0
547,0.0816993464052287,0.1633986928104575,0,-1,-1,1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,3,-1,3.0,0
579,0.0544662309368191,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,5,-1,5,-1,3,-1,1.0,0
629,0.0408496732026143,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,4,-1,0,-1,1.0,0
667,0.0326797385620915,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0
671,0.0272331154684095,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0,0
676,0.0233426704014939,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,3,-1,4,-1,5,-1,2,-1,1.0,0
685,0.0204248366013071,0.0408496732026143,-1,1,-1,1,-1,-1,-1,-1,3,-1,5,-1,3,-1,2,-1,1.0,1
689,0.1292665214233841,0.2326797385620915,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0
693,0.1163398692810457,0.1938997821350762,-1,0,-1,1,-1,-1,-1,-1,2,-1,5,-1,4,-1,3,-1,2.0,0
699,0.1057635175282234,0.1633986928104575,-1,1,-1,0,-1,-1,-1,-1,3,-1,3,-1,3,-1,3,-1,1.0,0
702,0.0969498910675381,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,4,-1,2,-1,3,-1,3,-1,1.0,0
723,0.0894922071392659,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0
728,0.0830999066293184,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0,0
732,0.0775599128540305,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,5,-1,2,-1,1.0,0
745,0.0727124183006536,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,4,-1,3,-1,3,-1,2,-1,1.0,0
747,0.0684352172241445,0.0408496732026143,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0,0
749,0.064633260711692,0.0326797385620915,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0,0
751,0.0612315101479188,0.0272331154684095,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,3.0,0
752,0.0581699346405228,0.0233426704014939,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,3,-1,2,-1,2.0,0
759,0.0553999377528789,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,4,-1,5,-1,0,-1,2,-1,2.0,0
781,0.0528817587641117,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,0,-1,2,-1,3.0,0
789,0.0505825518613242,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,0,-1,3,-1,3,-1,3,-1,1.0,0
820,0.048474945533769,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,4,-1,0,-1,3.0,0
825,0.0465359477124183,0.0816993464052287,-1,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,2,-1,6.0,0
830,0.0447461035696329,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,5,-1,3,-1,1.0,0
833,0.0430888404744613,0.0408496732026143,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0,0
835,0.0415499533146592,0.0326797385620915,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,1
837,0.0745999549244985,0.1938997821350762,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,4,-1,2,-1,3.0,0
838,0.0721132897603485,0.1661998132586368,-1,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,4,-1,3,-1,1.0,0
841,0.0697870546067889,0.1454248366013072,-1,1,-1,0,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,4.0,0
842,0.0676062091503268,0.1292665214233841,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0
863,0.0655575361457714,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,5,-1,5,-1,2,-1,3,-1,1.0,0
