"№ 
п/п",Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги,Статус,Институт_ИНМиН,Институт_ИТКН,Институт_МГИ,Институт_ЭУПП им. В.А. Роменца,Институт_ЭкоТех,Учебная группа_ББИ-20-4,Учебная группа_БИВТ-20-1,Учебная группа_БИВТ-20-3,Учебная группа_БИВТ-20-5,Учебная группа_БИВТ-20-6,Учебная группа_БИВТ-20-7,Учебная группа_БИСТ-20-1,Учебная группа_БИСТ-20-2,Учебная группа_БИСТ-20-3,Учебная группа_БЛГ-20-1,Учебная группа_БЛГ-20-11,Учебная группа_БЛГ-20-12,Учебная группа_БЛГ-20-13,Учебная группа_БЛГ-20-4,Учебная группа_БЛГ-20-5,Учебная группа_БМН-20-1,Учебная группа_БМН-20-2,Учебная группа_БМН-20-3,Учебная группа_БМТ-20-1,Учебная группа_БМТ-20-2,Учебная группа_БМТМ-20-1,Учебная группа_БНМТ-20-1,Учебная группа_БПИ-20-1,Учебная группа_БПИ-20-2,Учебная группа_БПИ-20-3,Учебная группа_БПИ-20-4,Учебная группа_БПИ-20-9,Учебная группа_БПМ-20-1,Учебная группа_БПМ-20-4,Учебная группа_БТМО-20-1,Учебная группа_БТМО-20-2,Учебная группа_БФЗ-20-1,Учебная группа_БЭК-20-1,Учебная группа_БЭК-20-3,Учебная группа_БЭН-20-2,Учебная группа_БЭЭ-20-1,Учебная группа_СГД-20-1,Учебная группа_СГД-20-2,Учебная группа_СГД-20-3,Учебная группа_СГД-20-4,Учебная группа_СГД-20-5,Учебная группа_СГД-20-6,Учебная группа_СФП-20-1
9,0,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,5,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,0,1,-1,-1,5,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,0,1,-1,-1,5,-1,3,-1,-1,-1,-1,-1,-1,3,-1,0,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,0,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,0,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
169,0,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,3,4.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,0,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,3.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,0,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
274,0,-1,0,1,-1,-1,-1,2,4,-1,-1,4,-1,-1,3,-1,2.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
351,0,-1,-1,1,-1,-1,-1,2,3,-1,-1,5,-1,-1,3,-1,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
378,0,1,1,1,-1,-1,-1,2,5,-1,-1,5,-1,-1,3,-1,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
386,0,1,1,1,-1,-1,-1,3,2,-1,-1,3,-1,-1,3,-1,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
445,0,-1,-1,1,-1,-1,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
495,зачтено,-1,-1,1,-1,-1,-1,-1,4,-1,-1,3,-1,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
547,не зачтено,-1,-1,1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,3,-1,3.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
579,0,1,-1,1,-1,-1,-1,-1,2,-1,5,-1,5,-1,3,-1,1.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
629,0,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,4,-1,0,-1,1.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
667,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
671,0,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
676,0,1,-1,1,-1,-1,-1,-1,3,-1,4,-1,5,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
685,0,1,-1,1,-1,-1,-1,-1,3,-1,5,-1,3,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
689,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
693,0,0,-1,1,-1,-1,-1,-1,2,-1,5,-1,4,-1,3,-1,2.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
699,0,1,-1,0,-1,-1,-1,-1,3,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
702,0,1,-1,1,-1,-1,-1,-1,4,-1,2,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
723,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
728,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
732,0,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,5,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
745,0,1,-1,1,-1,-1,-1,-1,4,-1,3,-1,3,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
747,0,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
749,0,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
751,0,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,3.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
752,0,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,3,-1,2,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
759,0,1,-1,1,-1,-1,-1,-1,4,-1,5,-1,0,-1,2,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
781,0,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,0,-1,2,-1,3.0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
789,0,1,-1,1,-1,-1,-1,-1,0,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
820,0,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,4,-1,0,-1,3.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
825,0,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,2,-1,6.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
830,0,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,5,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
833,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
835,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
837,0,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,4,-1,2,-1,3.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
